customerID,gender,PhoneService,InternetService,StreamingTV,Contract,TotalCharges,Churn
9305-CDSKC,Female,Yes,Fiber optic,Yes,Month-to-month,820.5,Yes
1452-KIOVK,Male,Yes,Fiber optic,Yes,Month-to-month,1949.4,No
7892-POOKP,Female,Yes,Fiber optic,Yes,Month-to-month,3046.05,Yes
0280-XJGEX,Male,Yes,Fiber optic,Yes,Month-to-month,5036.3,Yes
5129-JLPIS,Male,Yes,Fiber optic,Yes,Month-to-month,2686.05,No
6467-CHFZW,Male,Yes,Fiber optic,Yes,Month-to-month,4749.15,Yes
8773-HHUOZ,Female,Yes,DSL,Yes,Month-to-month,1093.1,Yes
4929-XIHVW,Male,Yes,Fiber optic,Yes,Month-to-month,181.65,No
5380-WJKOV,Male,Yes,Fiber optic,Yes,Month-to-month,3549.25,Yes
8168-UQWWF,Female,Yes,Fiber optic,Yes,Month-to-month,1105.4,Yes
4080-IIARD,Female,Yes,DSL,Yes,Month-to-month,981.45,No
7760-OYPDY,Female,Yes,Fiber optic,Yes,Month-to-month,144.15,Yes
8012-SOUDQ,Female,Yes,Fiber optic,Yes,Month-to-month,3838.75,No
9420-LOJKX,Female,Yes,Fiber optic,Yes,Month-to-month,1426.4,Yes
6575-SUVOI,Female,Yes,DSL,Yes,Month-to-month,1752.65,No
1658-BYGOY,Male,Yes,Fiber optic,Yes,Month-to-month,1752.55,Yes
0434-CSFON,Female,Yes,Fiber optic,Yes,Month-to-month,4707.1,No
1215-FIGMP,Male,Yes,Fiber optic,Yes,Month-to-month,5450.7,No
5698-BQJOH,Female,Yes,Fiber optic,Yes,Month-to-month,857.25,Yes
5122-CYFXA,Female,Yes,DSL,Yes,Month-to-month,244.1,No
0191-ZHSKZ,Male,Yes,DSL,Yes,Month-to-month,2111.3,No
5919-TMRGD,Female,Yes,Fiber optic,Yes,Month-to-month,79.35,Yes
9919-YLNNG,Female,Yes,Fiber optic,Yes,Month-to-month,4327.5,No
4445-ZJNMU,Male,Yes,Fiber optic,Yes,Month-to-month,918.75,No
6067-NGCEU,Female,Yes,Fiber optic,Yes,Month-to-month,7107,No
4598-XLKNJ,Female,Yes,Fiber optic,Yes,Month-to-month,2514.5,Yes
0486-HECZI,Male,Yes,Fiber optic,Yes,Month-to-month,5238.9,Yes
5712-AHQNN,Female,Yes,Fiber optic,Yes,Month-to-month,3954.1,No
3071-VBYPO,Male,Yes,Fiber optic,Yes,Month-to-month,248.4,No
5299-RULOA,Female,Yes,Fiber optic,Yes,Month-to-month,1064.65,Yes
3780-YVMFA,Female,Yes,DSL,Yes,Month-to-month,564.35,No
3874-EQOEP,Male,Yes,Fiber optic,Yes,Month-to-month,655.5,Yes
9167-APMXZ,Female,Yes,Fiber optic,Yes,Month-to-month,1821.95,No
1875-QIVME,Female,Yes,Fiber optic,Yes,Month-to-month,242.8,Yes
5947-SGKCL,Female,Yes,Fiber optic,Yes,Month-to-month,1559.25,No
2604-IJPDU,Female,Yes,Fiber optic,Yes,Month-to-month,1901.65,No
6168-YBYNP,Male,Yes,Fiber optic,Yes,Month-to-month,6519.75,No
7018-WBJNK,Male,Yes,Fiber optic,Yes,Month-to-month,1033.95,No
7825-ECJRF,Female,Yes,Fiber optic,Yes,Month-to-month,1934.45,Yes
6496-JDSSB,Female,Yes,Fiber optic,Yes,Month-to-month,624.6,No
2232-DMLXU,Female,Yes,DSL,Yes,Month-to-month,55.2,Yes
0094-OIFMO,Female,Yes,Fiber optic,Yes,Month-to-month,1120.3,Yes
3606-TWKGI,Male,Yes,Fiber optic,Yes,Month-to-month,1364.3,Yes
3197-ARFOY,Female,Yes,Fiber optic,Yes,Month-to-month,2007.25,No
4385-GZQXV,Female,Yes,Fiber optic,Yes,Month-to-month,1511.2,Yes
4716-HHKQH,Male,Yes,Fiber optic,Yes,Month-to-month,2172.05,No
4484-GLZOU,Female,Yes,Fiber optic,Yes,Month-to-month,5624.85,Yes
9512-UIBFX,Male,Yes,Fiber optic,Yes,Month-to-month,1779.95,Yes
4847-TAJYI,Female,Yes,Fiber optic,Yes,Month-to-month,567.8,No
6851-WEFYX,Male,Yes,Fiber optic,Yes,Month-to-month,3437.5,No
2985-JUUBZ,Male,Yes,DSL,Yes,Month-to-month,3015.75,No
8098-LLAZX,Female,Yes,Fiber optic,Yes,Month-to-month,396.1,Yes
3167-SNQPL,Male,Yes,Fiber optic,Yes,Month-to-month,3741.85,No
7563-BIUPC,Male,Yes,Fiber optic,Yes,Month-to-month,415.55,Yes
2840-XANRC,Male,Yes,Fiber optic,Yes,Month-to-month,2231.05,Yes
6745-JEFZB,Male,Yes,Fiber optic,Yes,Month-to-month,3236.35,No
4983-CLMLV,Female,Yes,Fiber optic,Yes,Month-to-month,5138.1,No
5701-YVSVF,Female,Yes,Fiber optic,Yes,Month-to-month,880.05,No
7982-VCELR,Female,Yes,Fiber optic,Yes,Month-to-month,3565.65,No
1343-EHPYB,Male,Yes,Fiber optic,Yes,Month-to-month,6603,Yes
2034-GDRCN,Female,Yes,Fiber optic,Yes,Month-to-month,168.2,Yes
4115-NZRKS,Female,Yes,Fiber optic,Yes,Month-to-month,574.35,No
1010-DIAUQ,Male,Yes,Fiber optic,Yes,Month-to-month,492.55,Yes
0259-GBZSH,Male,Yes,Fiber optic,Yes,Month-to-month,181.5,Yes
6862-CQUMB,Male,Yes,Fiber optic,Yes,Month-to-month,3646.8,No
9601-BRXPO,Female,Yes,Fiber optic,Yes,Month-to-month,2566.5,Yes
3597-MVHJT,Female,Yes,Fiber optic,Yes,Month-to-month,2595.25,No
9774-NRNAU,Male,Yes,DSL,Yes,Month-to-month,2309.55,No
3951-NJCVI,Female,Yes,Fiber optic,Yes,Month-to-month,3944.5,No
0177-PXBAT,Male,Yes,Fiber optic,Yes,Month-to-month,3694.7,No
0979-PHULV,Male,Yes,Fiber optic,Yes,Month-to-month,7007.6,Yes
0111-KLBQG,Male,Yes,Fiber optic,Yes,Month-to-month,2861.45,No
0771-WLCLA,Female,Yes,Fiber optic,Yes,Month-to-month,1882.55,No
5628-RKIFK,Female,Yes,Fiber optic,Yes,Month-to-month,5070.4,No
7752-XUSCI,Female,Yes,Fiber optic,Yes,Month-to-month,6396.45,Yes
5168-MSWXT,Male,Yes,Fiber optic,Yes,Month-to-month,759.55,No
8313-NDOIA,Female,Yes,Fiber optic,Yes,Month-to-month,2494.65,No
6614-VBEGU,Female,Yes,DSL,Yes,Month-to-month,1614.05,No
0880-TKATG,Male,Yes,Fiber optic,Yes,Month-to-month,385.9,Yes
3811-VBYBZ,Male,Yes,Fiber optic,Yes,Month-to-month,673.25,Yes
1304-BCCFO,Male,Yes,DSL,Yes,Month-to-month,564.4,No
3780-DDGSE,Male,Yes,DSL,Yes,Month-to-month,2747.2,No
4431-EDMIQ,Female,Yes,DSL,Yes,Month-to-month,554.05,No
0306-JAELE,Male,Yes,Fiber optic,Yes,Month-to-month,453.4,Yes
5949-XIKAE,Female,Yes,Fiber optic,Yes,Month-to-month,680.05,Yes
9094-AZPHK,Female,Yes,Fiber optic,Yes,Month-to-month,1415,No
6778-YSNIH,Female,Yes,DSL,Yes,Month-to-month,114.15,No
7218-HKQFK,Male,Yes,Fiber optic,Yes,Month-to-month,167.5,Yes
8535-SFUTN,Male,Yes,Fiber optic,Yes,Month-to-month,6300.15,No
8677-HDZEE,Female,Yes,Fiber optic,Yes,Month-to-month,5916.95,No
9412-GHEEC,Male,Yes,Fiber optic,Yes,Month-to-month,4131.95,Yes
8397-MVTAZ,Male,Yes,Fiber optic,Yes,Month-to-month,3480,Yes
4234-XTNEA,Male,Yes,Fiber optic,Yes,Month-to-month,174.45,No
5348-CAGXB,Male,Yes,Fiber optic,Yes,Month-to-month,1021.75,No
1342-JPNKI,Male,Yes,Fiber optic,Yes,Month-to-month,834.1,Yes
6986-IJDHX,Male,Yes,Fiber optic,Yes,Month-to-month,3266,Yes
3701-SFMUH,Male,Yes,DSL,Yes,Month-to-month,516.15,No
7319-VENRZ,Male,Yes,DSL,Yes,Month-to-month,445.95,No
0939-YAPAF,Female,Yes,Fiber optic,Yes,Month-to-month,3527.6,Yes
6030-REHUX,Female,Yes,Fiber optic,Yes,Month-to-month,3204.4,No
2865-TCHJW,Female,Yes,Fiber optic,Yes,Month-to-month,346.2,Yes
5192-EBGOV,Female,Yes,Fiber optic,Yes,Month-to-month,85.7,Yes
3419-SNJJD,Female,Yes,Fiber optic,Yes,Month-to-month,6786.4,Yes
3003-CMDUU,Female,Yes,Fiber optic,Yes,Month-to-month,2395.7,No
5099-BAILX,Male,Yes,Fiber optic,Yes,Month-to-month,4687.9,Yes
7207-RMRDB,Female,Yes,Fiber optic,Yes,Month-to-month,6985.65,Yes
4580-TMHJU,Female,Yes,DSL,Yes,Month-to-month,2499.3,Yes
0970-ETWGE,Male,Yes,Fiber optic,Yes,Month-to-month,89.55,Yes
1626-ERCMM,Male,Yes,Fiber optic,Yes,Month-to-month,1899.65,Yes
5183-SNMJQ,Male,Yes,Fiber optic,Yes,Month-to-month,865.1,No
5760-IFJOZ,Male,Yes,Fiber optic,Yes,Month-to-month,313.6,No
4957-TREIR,Male,Yes,DSL,Yes,Month-to-month,195.65,No
9450-TRJUU,Male,Yes,Fiber optic,Yes,Month-to-month,2848.45,No
3347-YJZZE,Male,Yes,DSL,Yes,Month-to-month,2211.8,No
5575-TPIZQ,Male,Yes,Fiber optic,Yes,Month-to-month,4245.55,No
5244-IRFIH,Male,Yes,Fiber optic,Yes,Month-to-month,3105.55,Yes
6786-OBWQR,Female,Yes,Fiber optic,Yes,Month-to-month,356.1,No
5138-WVKYJ,Male,Yes,Fiber optic,Yes,Month-to-month,1008.55,Yes
0139-IVFJG,Female,Yes,Fiber optic,Yes,Month-to-month,190.5,No
6683-VLCTZ,Male,Yes,Fiber optic,Yes,Month-to-month,1842.8,Yes
1894-IGFSG,Female,Yes,Fiber optic,Yes,Month-to-month,1907.85,Yes
0236-HFWSV,Male,Yes,Fiber optic,Yes,Month-to-month,1444.65,Yes
1450-GALXR,Female,Yes,Fiber optic,Yes,Month-to-month,1058.25,Yes
3138-BKYAV,Male,Yes,Fiber optic,Yes,Month-to-month,489.45,Yes
4289-DTDKW,Male,Yes,Fiber optic,Yes,Month-to-month,4113.1,Yes
3196-NVXLZ,Female,Yes,Fiber optic,Yes,Month-to-month,2088.05,No
0115-TFERT,Male,Yes,Fiber optic,Yes,Month-to-month,2317.1,Yes
4220-TINQT,Female,Yes,Fiber optic,Yes,Month-to-month,6751.35,No
0295-QVKPB,Male,Yes,DSL,Yes,Month-to-month,318.1,No
2311-QYMUQ,Female,Yes,Fiber optic,Yes,Month-to-month,1430.25,Yes
3643-AHCFP,Male,Yes,Fiber optic,Yes,Month-to-month,644.35,Yes
2672-TGEFF,Female,Yes,Fiber optic,Yes,Month-to-month,3340.55,No
9231-ZJYAM,Female,Yes,Fiber optic,Yes,Month-to-month,292.8,Yes
6092-QZVPP,Male,Yes,DSL,Yes,Month-to-month,2854.95,No
3027-ZTDHO,Male,Yes,Fiber optic,Yes,Month-to-month,89.9,Yes
7905-TVXTA,Female,Yes,DSL,Yes,Month-to-month,352.65,No
9944-HKVVB,Female,Yes,Fiber optic,Yes,Month-to-month,307.4,Yes
4124-MMETB,Male,Yes,Fiber optic,Yes,Month-to-month,2104.55,Yes
0207-MDKNV,Female,Yes,Fiber optic,Yes,Month-to-month,1582.75,Yes
9851-KIELU,Male,Yes,Fiber optic,Yes,Month-to-month,1043.3,Yes
2123-AGEEN,Female,Yes,Fiber optic,Yes,Month-to-month,609.65,No
7549-MYGPK,Female,Yes,Fiber optic,Yes,Month-to-month,6215.35,Yes
3804-RVTGV,Male,Yes,Fiber optic,Yes,Month-to-month,5017.9,Yes
4315-MURBD,Female,Yes,Fiber optic,Yes,Month-to-month,1120.95,Yes
9734-YWGEX,Female,Yes,Fiber optic,Yes,Month-to-month,923.5,Yes
2719-BDAQO,Male,Yes,Fiber optic,Yes,Month-to-month,1625.65,Yes
0781-LKXBR,Male,Yes,Fiber optic,Yes,Month-to-month,918.6,Yes
5543-QDCRY,Male,Yes,DSL,Yes,Month-to-month,234.85,No
7508-SMHXL,Female,Yes,Fiber optic,Yes,Month-to-month,1288.3,No
6630-UJZMY,Female,Yes,Fiber optic,Yes,Month-to-month,308.05,No
6353-BRMMA,Female,Yes,Fiber optic,Yes,Month-to-month,5645.8,No
9904-EHEVJ,Female,Yes,Fiber optic,Yes,Month-to-month,2896.55,No
7028-DVOIQ,Male,Yes,Fiber optic,Yes,Month-to-month,3395.8,Yes
5382-SOYZL,Male,Yes,Fiber optic,Yes,Month-to-month,2162.6,No
5651-YLPRD,Female,Yes,Fiber optic,Yes,Month-to-month,2723.75,No
9489-UTFKA,Male,Yes,DSL,Yes,Month-to-month,551.95,No
9889-TMAHG,Male,Yes,Fiber optic,Yes,Month-to-month,832.35,Yes
3158-MOERK,Female,Yes,Fiber optic,Yes,Month-to-month,174.8,Yes
7294-TMAOP,Female,Yes,Fiber optic,Yes,Month-to-month,90.55,Yes
5002-GCQFH,Male,Yes,Fiber optic,Yes,Month-to-month,4733.1,No
1374-DMZUI,Female,Yes,Fiber optic,Yes,Month-to-month,424.45,Yes
3234-VKACU,Male,Yes,DSL,Yes,Month-to-month,132.4,No
8357-EQXFO,Female,Yes,Fiber optic,Yes,Month-to-month,660.9,Yes
8818-XYFCQ,Male,Yes,Fiber optic,Yes,Month-to-month,3204.65,Yes
7426-RHZGU,Male,Yes,Fiber optic,Yes,Month-to-month,827.45,No
8242-SOQUO,Female,Yes,Fiber optic,Yes,Month-to-month,392.5,No
