customerID,gender,PhoneService,InternetService,StreamingTV,Contract,TotalCharges,Churn
3655-SNQYZ,Female,Yes,Fiber optic,Yes,Two year,7895.15,No
9959-WOFKT,Male,Yes,Fiber optic,Yes,Two year,7382.25,No
5248-YGIJN,Male,Yes,DSL,Yes,Two year,6369.45,No
6234-RAAPL,Female,Yes,Fiber optic,Yes,Two year,7251.7,No
9489-DEDVP,Female,Yes,DSL,Yes,Two year,4872.35,No
4671-VJLCL,Female,Yes,DSL,Yes,Two year,4861.45,No
7639-LIAYI,Male,Yes,DSL,Yes,Two year,4217.8,No
5954-BDFSG,Female,Yes,Fiber optic,Yes,Two year,7853.7,No
3410-YOQBQ,Female,Yes,DSL,Yes,Two year,2497.2,No
1891-QRQSA,Male,Yes,Fiber optic,Yes,Two year,7099,No
7233-PAHHL,Male,Yes,DSL,Yes,Two year,5714.25,No
9848-JQJTX,Male,Yes,Fiber optic,Yes,Two year,7459.05,No
3192-NQECA,Male,Yes,Fiber optic,Yes,Two year,7611.85,Yes
4622-YNKIJ,Male,Yes,Fiber optic,Yes,Two year,3027.65,No
3146-MSEGF,Female,Yes,DSL,Yes,Two year,6425.65,No
1095-WGNGG,Female,Yes,Fiber optic,Yes,Two year,5971.25,No
5716-EZXZN,Female,Yes,Fiber optic,Yes,Two year,6416.7,No
9073-ZZIAY,Male,Yes,DSL,Yes,Two year,5215.25,No
6371-NZYEG,Male,Yes,DSL,Yes,Two year,1024,No
5997-OPVFA,Male,Yes,DSL,Yes,Two year,6254.45,No
6727-IOTLZ,Male,Yes,DSL,Yes,Two year,1181.75,No
9680-NIAUV,Female,Yes,Fiber optic,Yes,Two year,8129.3,No
7255-SSFBC,Male,Yes,Fiber optic,Yes,Two year,8041.65,No
3363-DTIVD,Male,Yes,Fiber optic,Yes,Two year,7405.5,No
2040-LDIWQ,Male,Yes,DSL,Yes,Two year,5324.5,No
0945-TSONX,Female,Yes,DSL,Yes,Two year,4107.25,No
2651-ZCBXV,Male,Yes,Fiber optic,Yes,Two year,5760.65,No
7301-ABVAD,Female,Yes,DSL,Yes,Two year,6350.5,No
6614-FHDBO,Male,Yes,Fiber optic,Yes,Two year,7878.3,No
7017-VFHAY,Female,Yes,Fiber optic,Yes,Two year,7008.15,No
0123-CRBRT,Female,Yes,DSL,Yes,Two year,5526.75,No
4115-BNPJY,Male,Yes,DSL,Yes,Two year,2054.4,No
1557-EMYVT,Female,Yes,Fiber optic,Yes,Two year,4895.1,No
