customerID,gender,PhoneService,InternetService,StreamingTV,Contract,TotalCharges,Churn
7590-VHVEG,Female,No,DSL,No,Month-to-month,29.85,No
5575-GNVDE,Male,Yes,DSL,No,One year,1889.5,No
3668-QPYBK,Male,Yes,DSL,No,Month-to-month,108.15,Yes
7795-CFOCW,Male,No,DSL,No,One year,1840.75,No
9237-HQITU,Female,Yes,Fiber optic,No,Month-to-month,151.65,Yes
9305-CDSKC,Female,Yes,Fiber optic,Yes,Month-to-month,820.5,Yes
1452-KIOVK,Male,Yes,Fiber optic,Yes,Month-to-month,1949.4,No
6713-OKOMC,Female,No,DSL,No,Month-to-month,301.9,No
7892-POOKP,Female,Yes,Fiber optic,Yes,Month-to-month,3046.05,Yes
6388-TABGU,Male,Yes,DSL,No,One year,3487.95,No
9763-GRSKD,Male,Yes,DSL,No,Month-to-month,587.45,No
7469-LKBCI,Male,Yes,No,No internet service,Two year,326.8,No
8091-TTVAX,Male,Yes,Fiber optic,Yes,One year,5681.1,No
0280-XJGEX,Male,Yes,Fiber optic,Yes,Month-to-month,5036.3,Yes
5129-JLPIS,Male,Yes,Fiber optic,Yes,Month-to-month,2686.05,No
3655-SNQYZ,Female,Yes,Fiber optic,Yes,Two year,7895.15,No
8191-XWSZG,Female,Yes,No,No internet service,One year,1022.95,No
9959-WOFKT,Male,Yes,Fiber optic,Yes,Two year,7382.25,No
4190-MFLUW,Female,Yes,DSL,No,Month-to-month,528.35,Yes
4183-MYFRB,Female,Yes,Fiber optic,No,Month-to-month,1862.9,No
8779-QRDMV,Male,No,DSL,No,Month-to-month,39.65,Yes
1680-VDCWW,Male,Yes,No,No internet service,One year,202.25,No
1066-JKSGK,Male,Yes,No,No internet service,Month-to-month,20.15,Yes
3638-WEABW,Female,Yes,DSL,No,Two year,3505.1,No
6322-HRPFA,Male,Yes,DSL,No,Month-to-month,2970.3,No
6865-JZNKO,Female,Yes,DSL,No,Month-to-month,1530.6,No
6467-CHFZW,Male,Yes,Fiber optic,Yes,Month-to-month,4749.15,Yes
8665-UTDHZ,Male,No,DSL,No,Month-to-month,30.2,Yes
5248-YGIJN,Male,Yes,DSL,Yes,Two year,6369.45,No
8773-HHUOZ,Female,Yes,DSL,Yes,Month-to-month,1093.1,Yes
3841-NFECX,Female,Yes,Fiber optic,No,Two year,6766.95,No
4929-XIHVW,Male,Yes,Fiber optic,Yes,Month-to-month,181.65,No
6827-IEAUQ,Female,Yes,DSL,No,One year,1874.45,No
7310-EGVHZ,Male,Yes,No,No internet service,Month-to-month,20.2,No
3413-BMNZE,Male,Yes,DSL,No,Month-to-month,45.25,No
